district,source,type,units
Long Valley,East Portal Flow,flow,cfs
Long Valley,OR Below EP Flow,flow,cfs
Long Valley,Hot Ck.at Hwy. Flow,flow,cfs
Long Valley,McGee Ck. Lower Sta. Flow,flow,cfs
Long Valley,Long Valley Current Outflow,flow,cfs
Long Valley,Rock Ck. Div. Flow,flow,cfs
Long Valley,Upper Gorge at TRS,flow,cfs
Long Valley,Long Valley Elevation,elevation,feet
Lower Owens River Project,LORP Intake Flow,flow,cfs
Lower Owens River Project,LORP at Mazourka Canyon Road,flow,cfs
Lower Owens River Project,LORP at Reinhackle Springs,flow,cfs
Lower Owens River Project,LORP Above Pumpstation,flow,cfs
Lower Owens River Project,LORP At Pump Station Discharge Flow,flow,cfs
Mono Basin,Lee Vining Intake Above Flow,flow,cfs
Mono Basin,Lee Vining Intake Below Flow,flow,cfs
Mono Basin,Walker Ck. Above Conduit Flow,flow,cfs
Mono Basin,L.V. Conduit Below Intake Flow,flow,cfs
Mono Basin,Walker Ck. Under Conduit Flow,flow,cfs
Mono Basin,Parker Ck. Under Conduit Flow,flow,cfs
Mono Basin,Parker Ck. Above Conduit Flow,flow,cfs
Mono Basin,Grant Lk. Spill Flow,flow,cfs
Mono Basin,Mono Gate 1 Return Ditch Flow,flow,cfs
Mono Basin,Grant Lk. Outflow,flow,cfs
Mono Basin,Rush Ck. at Damsite Flow,flow,cfs
Mono Basin,Flow to West Portal,flow,cfs
Mono Basin,Mono Lk. Elevation,elevation,feet
Mono Basin,Grant Lk. Elevation,elevation,feet
Northern Owens Valley,Rock Ck. At Owens River (PV) Flow,flow,cfs
Northern Owens Valley,Pleasant Valley Outflow,flow,cfs
Northern Owens Valley,Baker Ck. At LA Station Flow,flow,cfs
Northern Owens Valley,Big Pine Ck. USGS Flow,flow,cfs
Northern Owens Valley,O.R. Below Big Pine,flow,cfs
Northern Owens Valley,Fish Springs At RR Flow,flow,cfs
Northern Owens Valley,Tinemaha Reservoir Outflow,flow,cfs
Northern Owens Valley,Bishop Creek Through Plant 6,flow,cfs
Northern Owens Valley,Bishop Creek Around Plant 6,flow,cfs
Northern Owens Valley,Pleasant Valley Elevation,elevation,feet
Northern Owens Valley,Tinemaha Elevation,elevation,feet
Southern District,Haiwee LAA #2 Current Flow,flow,cfs
Southern District,Haiwee LAA #1 Current Flow,flow,cfs
Southern District,LAA #1 Flow at Fairmont Reservoir,flow,cfs
Southern District,LAA #2 Flow at Fairmont Res.,flow,cfs
Southern District,Bouquet Reservoir Inflow,flow,cfs
Southern District,Bouquet Reservoir Outflow,flow,cfs
Southern District,LAA #1 at Soledad Flow,flow,cfs
Southern District,LAA #2 at Soledad Flow,flow,cfs
Southern District,S. Haiwee Reservoir Elevation,elevation,feet
Southern District,Fairmont Reservoir Elevation,elevation,feet
Southern District,Bouquet Reservoir Elevation,elevation,feet
Southern Owens Valley,Tinemaha Reservoir Outflow,flow,cfs
Southern Owens Valley,Indep. Ck. At Junction Flow,flow,cfs
Southern Owens Valley,LAA at Alabama Flow,flow,cfs
Southern Owens Valley,Cottonwood Ck. At LAA Flow,flow,cfs
Southern Owens Valley,LAA at Cottonwood Flow,flow,cfs
Southern Owens Valley,Haiwee LAA #1 Current Flow,flow,cfs
Southern Owens Valley,Haiwee LAA #2 Current Flow,flow,cfs
Southern Owens Valley,Reinhackel Flow,flow,cfs
Southern Owens Valley,Lubkin Spillgate Outflow,flow,cfs
Southern Owens Valley,Cartago Spillgate Outflow,flow,cfs
Southern Owens Valley,LAA at Alabama Level,level,feet
Southern Owens Valley,LAA at Alabama Water Temp,temperature,deg f
Southern Owens Valley,LAA at Cottonwood Level,level,feet
Southern Owens Valley,LAA at Cotton. Water Temp,temperature,deg f
Southern Owens Valley,N. Haiwee Elevation,elevation,feet
Southern Owens Valley,S. Haiwee Reservoir Elevation,elevation,feet
Southern Owens Valley,Tinemaha Elevation,elevation,feet